City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,awbari,LY,48.7,few clouds,26.5921,12.7805,فندق أوباري
156,calvinia,ZA,58.06,scattered clouds,-31.4707,19.776,Die Lemoenhuis
157,coihaique,CL,47.01,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
158,ville-marie,CA,19.4,overcast clouds,47.3335,-79.433,La Bannik
159,saint-philippe,RE,83.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
160,alpena,US,30.34,mist,45.0617,-83.4327,Days Inn by Wyndham Alpena
161,stroby egede,DK,38.93,light snow,55.4138,12.245,Troldegaarden Guesthouse
162,sao joao da barra,BR,73.92,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
163,rio gallegos,AR,48.25,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
164,nanortalik,GL,33.8,light rain,60.1432,-45.2371,Hotel Kap Farvel
165,impfondo,CG,74.84,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
166,namibe,AO,72.52,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
167,hit,IQ,66.07,overcast clouds,33.6416,42.8251,صالون زيرو
168,saint-joseph,RE,82.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
170,mahebourg,MU,84.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,banavar,IN,74.12,overcast clouds,13.4136,76.1683,Shree Durga Lodge
172,danville,US,36.27,broken clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
173,porto novo,BJ,77.94,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
174,boffa,GN,75.51,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
175,gulu,UG,75.0,overcast clouds,2.7746,32.299,ACHOLI INN
176,thompson,CA,12.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
